pk_numero	data	numero	rubrica_all	note_fuori_rubrica	notizie_fatti_storici	note	note_varie
214	1946-09-17	214	no	"trafiletto ""Per evitare incidenti"",su via ""Ludovico Ariosto"" (p3); Memorie di un calzolaio XVII (p3)"			
215	1946-09-18	215	no				
216	1946-09-19	216	no	Memorie di un calzolaio XVII (p3)			
217	1946-09-20	217	si	trafiletto su attore Macario in Quel che scrivono gli altri (p2)			
218	1946-09-21	218	no				
219	1946-09-23	219	no	vasta epurazione tra gli scrittori (p1)			
220	1946-09-24	220	no	biblioteche circolanti (p2)	 Memorie di un calzolaio XVIII (p3); visita di Luigi Antonini a Lugano (p3)		
221	1946-09-25	221	no	Letteratura comunista (p1); Giornali svizzeri proibiti in Romania (p2); libro di Saponaro su Mazzini (p2)			
222	1946-09-26	222	no				
223	1946-09-27	223	no	Memorie di un calzolaio XIX (p2)			
224	1946-09-28	224	si				
225	1946-09-30	225	no	salon romand du livre a Neauchâtel (con premio assegnato	 p4)		
226	1946-10-01	226	no				
227	1946-10-02	227	no		Lettura del verdetto Norimberga (1 e 4)		
228	1946-10-03	228	no	"""La vera povertà"" in Flussi e Riflussi (p2)"			
229	1946-10-04	229	si	"""Lettere veneziane"" (1-2)"			
230	1946-10-05	230	si				
231	1946-10-07	231	no	"""Lettere veneziane II: Tintoretto alla scuola di San Rocco"" (2)"			
232	1946-10-08	232	no				
233	1946-10-09	233	no	Mostra del pittore Corty alla Ghilda (3)	Armistizio nell'Iran (1)		
234	1946-10-10	234	no				
235	1946-10-11	235	si		"""Il problema di Trieste visto da tirestini"" (2)"		
236	1946-10-12	236	no	poeta Sergio Maspoli alla RSI (2); pag 3 tutta sulla Fiera Svizzera di Lugano (con articolo su Quadri/statue)			
237	1946-10-14	237	no	"dizione di poesia al circolo di cultura di Chiasso (p3); ""Memorie di un calzolaio XX"" (p3), mostra Corty alla Ghilda (p3), "			
238	1946-10-15	238	no	dizione di poesia moderna e contemporanea a Bellinzona (p2)	 Memorie di un calzolaio XXI (p3)		
239	1946-10-16	239	no				
